country.homeland.ABY,HABEŞİSTAN
owo.doctrine.intelligence.directive.court_whispers.desc,Dikkatle yerleştirilmiş bir söylenti bir ordunun işini görür. Ucuz, inkâr edilebilir ve tam olarak nişan alınması imkânsız.
owo.doctrine.intelligence.hidden.cipher_disk,Şifre Diski
owo.doctrine.intelligence.hidden.cipher_disk.desc,İç içe iki alfabe ve dönen bir gösterge harfi. Zeki bir kâtibin uzun bir öğleden sonrada artık çözemeyeceği yazışmalar.
owo.doctrine.intelligence.hidden.council_of_ten,Onlar Meclisi
owo.doctrine.intelligence.hidden.council_of_ten.desc,Önce hareket edip sonra izah etme yetkisi olan küçük ve daimî bir heyet. Sahip olan her cumhuriyette en çok korkulan kurum.
owo.doctrine.intelligence.hidden.bought_clerk,Satın Alınmış Kâtip
owo.doctrine.intelligence.hidden.bought_clerk.desc,Antlaşmaları temize çeken adam iki kere maaş alır. Avrupa'nın en ucuz istihbaratı ve kaybedildiğinde yerine konması en zor olanı.
owo.doctrine.intelligence.hidden.pilgrim_networks,Hacı Ağları
owo.doctrine.intelligence.hidden.pilgrim_networks.desc,Kimse bir hacının yolunu, bir dervişin konağını ya da bir seyyar satıcının denkini sorgulamaz. Hristiyan âleminin her sınırını kendi ayağıyla geçen bir örtü.
owo.doctrine.intelligence.hidden.apothecary_arts,Aktarın Hüneri
owo.doctrine.intelligence.hidden.apothecary_arts.desc,Rakip bir sarayda hekim, bir alaya bedeldir ve ara sıra bir alayın işini görür. Hiçbir şey asla ispatlanamaz.
owo.doctrine.intelligence.hidden.intercepted_bag,Ele Geçirilen Çanta
owo.doctrine.intelligence.hidden.intercepted_bag.desc,Ulak, keseyi ve ne yazık ki evrakı da alan haydutlarca soyulur. İttifakları imzalanmadan önce bilinir.
owo.doctrine.industry.directive.arsenal_priority,Tersane Önceliği
owo.doctrine.industry.directive.arsenal_priority.desc,Tersane önce yer: kereste, demir, halat ve her usta el. Donanmalar ve toplar erken gelir, diğer her şey bekler.
owo.doctrine.industry.directive.public_works,Bayındırlık İşleri
owo.doctrine.industry.directive.public_works.desc,Köprüler, mendirekler, su kemerleri ve yollar. Getirisini toptan daha geç gösterir ve iki yüzyıl boyunca göstermeye devam eder.
owo.doctrine.industry.directive.stockpile_the_realm,Ülkeyi Stoklamak
owo.doctrine.industry.directive.stockpile_the_realm.desc,Kötü yıla karşı cephanelikleri, ambarları ve kereste avlularını doldurun. Sermaye sundurmalarda atıl bekler ve kötü yıl her zaman gelir.
owo.doctrine.industry.hidden.blast_furnace,Yüksek Fırın
owo.doctrine.industry.hidden.blast_furnace.desc,Daha yüksek bacalar ve su gücüyle çalışan körükler şarjı erimiş tutar; böylece demir dövülmek yerine dökülür. Çubukla değil, tonla üretim.
owo.doctrine.industry.hidden.arsenal_assembly,Tersane Montajı
owo.doctrine.industry.hidden.arsenal_assembly.desc,Standart iskeletler, hazırlanmış keresteler ve teknenin çekildiği bir donatım kanalı. Sipariş üzerine bir günde tamamlanan kadırga.
owo.doctrine.industry.hidden.saigerprozess,Gümüş Ayırma Usulü
owo.doctrine.industry.hidden.saigerprozess.desc,Gümüşlü bakırı kurşunla eritin, gümüş ayrışsın. Değersiz sayılan cevher birdenbire bir darphaneye dönüşür.
owo.doctrine.industry.hidden.overshot_wheel,Üstten Savaklı Çark
owo.doctrine.industry.hidden.overshot_wheel.desc,Su, çarkın altına değil üstüne verilir. Bir bent kurulabilen her yerde aynı dereden iki katı güç.
owo.doctrine.industry.hidden.wire_drawing_mill,Tel Çekme Değirmeni
owo.doctrine.industry.hidden.wire_drawing_mill.desc,Su gücüyle çalışan çekme tezgâhları bütün gün çubuğu tele dönüştürür. Hiçbir el tezgâhının ulaşamayacağı miktarda zırh, iğne, toplu iğne ve halat.
owo.doctrine.industry.hidden.dry_dock,Kuru Havuz
owo.doctrine.industry.hidden.dry_dock.desc,İçeri alın, kapağı kapatın, suyu boşaltın ve tekneyi kuruda çalışın. Kalafat mevsimi artık gelgitle oynanan bir kumar olmaktan çıkar.
